IndivID,CEWLBloodCollectDate,DaysInTrmt,GaveBirth
101,8/22/22,0,Y
,8/29/22,7,Y
,9/4/22,13,Y
102,8/22/22,0,N
,8/29/22,7,N
,9/5/22,14,N
103,8/22/22,0,Y
,8/29/22,7,Y
,9/5/22,14,Y
,9/6/22,15,Y
104,8/22/22,0,Y
,8/29/22,7,Y
,9/6/22,15,Y
105,8/22/22,0,Y
,8/29/22,7,Y
,9/5/22,14,Y
107,8/22/22,0,N
,8/29/22,7,N
,9/5/22,14,N
108,8/22/22,0,N
,8/29/22,7,N
,9/5/22,14,N
110,8/22/22,0,N
,8/29/22,7,N
,9/5/22,14,N
111,8/22/22,0,N
,8/29/22,7,N
,9/5/22,14,N
112,8/22/22,0,Y
,8/29/22,7,Y
,9/5/22,14,Y
113,8/22/22,0,N
,8/29/22,7,N
,9/5/22,14,N
114,8/22/22,0,Y
,8/29/22,7,Y
,9/5/22,14,Y
115,8/22/22,0,Y
,8/29/22,7,Y
,9/5/22,14,Y
,9/6/22,15,Y
116,8/24/22,0,N
,8/31/22,7,N
117,8/23/22,0,Y
,8/30/22,7,Y
,9/6/22,14,Y
119,8/24/22,0,Y
,8/31/22,7,Y
,9/6/22,13,Y
120,8/24/22,0,N
,8/31/22,7,N
,9/6/22,13,N
123,8/25/22,0,N
,9/1/22,7,N
124,8/26/22,0,Y
,8/31/22,5,Y
125,8/26/22,0,Y
,8/28/22,2,Y
,9/4/22,9,Y
126,8/26/22,0,Y
,9/2/22,7,Y
127,8/26/22,0,Y
,9/3/22,8,Y
,9/4/22,9,Y
128,8/26/22,0,Y
,8/29/22,3,Y
,9/5/22,10,Y
129,8/26/22,0,Y
,8/28/22,2,Y
,9/4/22,9,Y
130,8/26/22,0,N
,9/3/22,8,N
131,8/26/22,0,Y
,8/31/22,5,Y
133,8/26/22,0,Y
,8/31/22,5,Y
134,8/26/22,0,Y
,8/31/22,5,Y
135,8/26/22,0,Y
,8/28/22,3,Y
,9/4/22,9,Y