Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,msmt_temp_C,msmt_RM_percent,,,,
AAR,M,adult,731,73.1,300.5,3.795,Male,409,25,5/29/21,21.2,25.7,,,,
ABG,M,adult,933,93.3,690.4,8.99,Male,369,23,5/30/21,22.5,33.6,,,,
ABPu,M,adult,520,52,86.2,7.043333333,Male,353,26,5/29/21,22.6,27.6,,,,
ABR,M,adult,780,78,318.8,6.456666667,Male,410.5,25,5/28/21,23.8,22.3,,,,
ABW,M,adult,1014,101.4,877.1,7.526666667,Male,383,16,5/26/21,17.8,36.1,,,,
ABY,M,adult,953,95.3,603.6,9.925,Male,443.6666667,18,5/23/21,18.8,26.8,,,,
AGG,M,adult,611,61.1,159,6.31,Male,402.6666667,25,6/1/21,24.3,21.7,,,,
AGR,M,adult,693,69.3,215.5,4.25,Male,417.3333333,24,5/29/21,20.9,26.4,,,,
AGW,M,adult,876,87.6,505.4,3.046666667,Male,396,20.5,5/26/21,19.9,26.7,,,,
AGY,M,adult,792,79.2,405.3,5.926666667,Male,402,18,5/23/21,19.5,27.1,,,,
ARP,M,adult,915,91.5,652,8.49,Male,424,23,5/30/21,22.3,33.3,,,,
ARR,M,adult,912,91.2,452.4,7.72,Male,530,26,5/29/21,23.7,25.7,,,,
ARY,M,adult,971,97.1,741.7,3.24,Male,423.6666667,18,5/23/21,20.1,23.2,,,,
AYY,M,adult,675,67.5,204.5,4.103333333,Male,453,18,5/23/21,20.2,24.4,,,,
B1,M,adult,422,42.2,NA,4.006666667,Male,NA,25.5,5/29/21,22.4,27.4,,,,
Baby1,M,juvenile,379,37.9,36.3,5.36,Male,NA,18,5/25/21,14.7,40.3,,,,
Baby10,F,juvenile,261,26.1,9.1,11.92666667,Juvenile F,NA,18,5/25/21,17.8,31.9,,,,
Baby11,M,juvenile,231,23.1,8.8,5.48,Male,NA,18,5/25/21,17.6,30.1,,,,
Baby12,M,juvenile,252,25.2,11.3,4.35,Male,NA,18,5/25/21,17.7,29.8,,,,
Baby13,M,juvenile,251,25.1,10.1,5.896666667,Male,NA,18,5/25/21,17.9,30.1,,,,
Baby2,M,juvenile,329,32.9,25.7,5.35,Male,NA,18,5/25/21,15.5,37.9,,,,
Baby3,F,juvenile,394,39.4,37.4,5.153333333,Juvenile F,NA,18,5/25/21,16.1,37.8,,,,
Baby4,M,juvenile,360,36,29.7,18.86,Male,NA,18,5/25/21,16.8,36,,,,
Baby5,M,juvenile,290,29,19.7,9.01,Male,NA,18,5/25/21,16.7,32.7,,,,
Baby6,F,juvenile,348,34.8,22.8,4.295,Juvenile F,NA,18,5/25/21,17.3,31.8,,,,
Baby7,F,juvenile,311,31.1,18,5.85,Juvenile F,NA,18,5/25/21,17.4,31.5,,,,
Baby8,F,juvenile,276,27.6,14.3,7.605,Juvenile F,NA,18,5/25/21,17.6,31.7,,,,
Baby9,F,juvenile,284,28.4,10.5,7.12,Juvenile F,NA,18,5/25/21,17.1,30.9,,,,
BGP,M,adult,NA,NA,NA,7.496666667,Male,NA,18,5/26/21,15.5,37.3,,,,
BPP,M,adult,974,97.4,697.7,5.996666667,Male,471,18,5/23/21,19.9,25.5,,,,
BPPu,M,adult,708,70.8,236.2,6.92,Male,344.5,28,6/1/21,23.8,21.5,,,,
BPW,M,adult,1007,100.7,849.1,9.125,Male,432,18,5/23/21,16.5,25.3,,,,
BRB,M,adult,806,80.6,355.8,7.673333333,Male,403,27,5/28/21,24,24.6,,,,
BRGG,M,adult,884,88.4,NA,6.876666667,Male,406.5,18,5/26/21,14.9,41.3,,,,
BWB,M,adult,916,91.6,502.9,8.785,Male,378.6666667,26,5/29/21,24,25.2,,,,
GBG,M,adult,963,96.3,680,7.906666667,Male,409.6666667,24,5/30/21,22,33.7,,,,
GBY,M,adult,966,96.6,673.1,5.373333333,Male,387,16,5/26/21,14.5,41.1,,,,
GRY,M,adult,709,70.9,275.5,5.173333333,Male,520,18,5/23/21,19.9,24.5,,,,
GYY,M,adult,1102,110.2,968.4,5.515,Male,406,19,5/26/21,16.7,38.2,,,,
O1,F,adult,853,85.3,344.7,7.343333333,N,417.5,25,6/1/21,23.6,24.9,,,,
O2,F,adult,803,80.3,346.6,6.073333333,Y,405.3333333,24.5,6/1/21,22.9,25.2,,,,
PBA,F,adult,935,93.5,709.7,4.973333333,Y,420.3333333,18,5/23/21,18.4,27.3,,,,
PGA,M,adult,515,51.5,80.6,10.56333333,Male,436.5,18,5/23/21,19.1,24.3,,,,
PiPuA,F,adult,773,77.3,444.8,7.066666667,Y,387.5,18,5/23/21,19,25,,,,
PPA,F,adult,910,91,489.9,10.92,Y,409.5,18,5/23/21,18.9,28.5,,,,
PPB,F,adult,NA,NA,NA,7.683333333,N ,414,23.5,5/31/21,21.8,26.5,,,,
PPPu,F,adult,721,72.1,196.8,5.246666667,N,485,24,5/31/21,21.6,26.8,,,,
PPuR,F,adult,884,88.4,494.4,6.16,Y,405,26,5/31/21,22.7,26.3,,,,
PPuW,F,adult,841,84.1,508.1,5.966666667,Y,417.6666667,23,6/1/21,20.6,30.8,,,,
PPuY,F,adult,921,92.1,629.3,7.836666667,Y,381,25,5/31/21,22.5,31.5,,,,
PRA,F,adult,869,86.9,681.9,4.535,Y,356,18,5/23/21,20.2,25.2,,,,
PRP,F,adult,801,80.1,330.7,2.67,N,422,24,5/28/21,23.5,19.2,,,,
PRPu,F,adult,855,85.5,445.5,8.853333333,N,381.6666667,26,6/1/21,24.1,22.6,,,,
PRY,F,adult,769,76.9,365.7,3.53,N,383,22,5/27/21,21.5,19.7,,,,
PuBPi,M,adult,707,70.7,289.2,5.59,Male,397.3333333,18,5/23/21,19.8,24.4,,,,
PuYW,M,adult,890,89,529.2,6.155,Male,380.5,24,5/28/21,23.5,20.5,,,,
PuYY,M,adult,911,91.1,615.9,3.83,Male,NA,20,5/25/21,19,26,,,,
PWA,F,adult,822,82.2,329.7,4.86,Y,370,20,5/25/21,17.8,29.7,,,,
PWPu,F,adult,729,72.9,267.4,7.81,Y,387.5,23.5,5/31/21,21.7,28.1,,,,
PWR,F,adult,736,73.6,373.4,2.81,Y,418,18,5/23/21,20,25,,,,
R1,F,adult,845,84.5,340.6,7.926666667,N,NA,22.5,5/30/21,21,33,,,,
RBA,F,adult,866,86.6,555.1,6.323333333,Y,NA,17,5/26/21,13.2,46.1,,,,
RBP,F,adult,868,86.8,325.6,2.62,N,383.5,22.5,5/28/21,21.9,24.2,,,,
RBW,F,adult,835,83.5,356.6,6.21,Y,379.5,18,5/23/21,19.7,24.2,,,,
RGR,F,adult,770,77,259.8,8.473333333,N,444,22,5/29/21,19,32,,,,
RPA,F,adult,723,72.3,248.4,9.636666667,N,402.3333333,17,5/26/21,14.1,43.7,,,,
RWA,F,adult,620,62,145,4.263333333,N,391.5,20,5/26/21,18.6,33.7,,,,
RYA,F,adult,609,60.9,128.6,6.7,N,397,21,5/26/21,19.6,27.7,,,,
RYG,F,adult,748,74.8,282,5.286666667,N,NA,25,5/29/21,23.1,28.8,,,,
WBR,F,adult,825,82.5,283,2.673333333,N,370.3333333,22,5/27/21,19.8,25,,,,
WGA,F,adult,674,67.4,190.5,4.103333333,N,NA,22,5/27/21,20.8,22.5,,,,
WGG,F,adult,843,84.3,323.6,3.543333333,N,403.5,22,5/27/21,20.8,25.1,,,,
WGPu,F,adult,681,68.1,223.6,6.746666667,N,363.5,24,5/31/21,21.5,29.4,,,,
WPPu,F,adult,NA,NA,NA,5.373333333,Y,460,25,6/1/21,23.1,24.1,,,,
WPuA,F,adult,765,76.5,307.3,3.466666667,N,394,25,5/28/21,24,21.5,,,,
WPuW,F,adult,812,81.2,434.2,6.9,Y,384.5,23,6/1/21,22.1,28.7,,,,
WRA,F,adult,679,67.9,278.1,4.465,N,376.6666667,27,5/28/21,23.8,23.6,,,,
WWA,F,adult,954,95.4,464.1,9.41,N,385,22.5,5/30/21,20.9,36,,,,
WWB,F,adult,763,76.3,336.7,2.173333333,N,405.5,22.5,5/27/21,19.6,24.7,,,,
WWG,F,adult,1011,101.1,524.1,6.22,N,363,24.5,5/28/21,23.1,21.9,,,,
WYA,F,adult,531,53.1,93,5.466666667,N,403.6666667,25,5/29/21,20.1,27.9,,,,
YBP,M,adult,1025,102.5,729.7,7.295,Male,416,24.5,5/31/21,22.1,27.5,,,,
YBY,M,adult,985,98.5,NA,6.403333333,Male,408,25,5/28/21,23.9,25.8,,,,
YGR,M,adult,751,75.1,274.1,12.07,Male,390.6666667,18,5/23/21,17.9,25.3,,,,
YRP,M,adult,702,70.2,247.2,6.863333333,Male,NA,26.5,6/1/21,24.4,22.6,,,,
YRR,M,adult,1002,100.2,706.1,7.74,Male,426,25,5/31/21,22,26.6,,,,
YYP,M,adult,811,81.1,382.3,7.936666667,Male,388.5,26,5/29/21,23.3,27.3,,,,