Crotalus viridis All Captured Snake Measurements Exp 1 (2022),,,,,,,,,,,,,,,,
IndivID,DateofCapture,RookeryCaptureID,Sex,"LifeStage 
",Pregnant,Mass(g),SVL(cm),ShedStage,TbCEWL(C),CEWL&BloodCollectDate,DateBloodAnalyzed,PlasmaOsmolalityRep1(mmol/kg),PlasmaOsmolalityRep2(mmol/kg),PlasmaOsmolalityRep3(mmol/kg),PlasmaOsmolalityRep4(mmol/kg),Notes
101,8-21-22,1,F,A,Y,648.6,84.0,APP,30.2,8-22-22,8-22-22,348,342,338,341,"pit tag: 900 1180 01337547, rattle color: pink-yellow-pink"
102,8-21-22,1,F,A,Y,298.5,66.0,APP,28.5,8-22-22,8-23-22,318,323,323,326,bloody cloaca when captured
103,8-21-22,1,F,A,Y,461.5,76.5,CLOSE,27.8,8-22-22,8-22-22,318,316,318,320,"bloody cloaca when captured, shed on 8/27 at 8:30pm"
104,8-21-22,1,F,A,Y,597.0,90.5,APP,26.8,8-22-22,8-22-22,324,327,329,327,"pit tag: 900 1180 01238694, rattle color: pink-aqua-pink"
105,8-21-22,1,F,A,Y,312.2,68.5,APP,28.5,8-22-22,8-23-22,346,344,346,343,
106,8-21-22,1,F,A,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released back to R1 on 8/22, marked pink on tail, gave birth to early fetus prior to measurements so released early"
107,8-21-22,1,F,A,Y,369.0,71.0,No Rattle,28.6,8-22-22,8-23-22,323,321,324,323,"no rattle, slightly hemolyzed plasma"
108,8-21-22,L3,F,A,Y,377.5,68.0,APP,29.2,8-22-22,8-23-22,316,315,315,315,"pit tag: 982 0004 03070231, rattle color: white-white-pink"
109,8-21-22,1B,M,A,NA,619.2,82.5,APP,28.7,8-22-22,8-22-22,328,331,333,326,"hemolyzed plasma, pit tag: 900 118001360168"
110,8-21-22,1B,F,A,Y,593.1,88.0,APP,29.5,8-22-22,8-23-22,322,321,317,328,slightly hemolyzed plasma
111,8-21-22,1B,F,A,Y,456.7,75.8,APP,27.2,8-22-22,8-22-22,323,317,317,317,
112,8-21-22,1B,F,A,Y,507.9,83.2,APP,31.9,8-22-22,8-22-22,343,341,340,340,
113,8-21-22,1B,F,A,Y,488.9,79.0,APP,29.7,8-22-22,8-22-22,344,344,340,341,"pit tag: 982 0004 03070208, rattle color: white-yellow-green"
114,8-21-22,1B,F,A,Y,505.0,80.5,APP,30.0,8-22-22,8-23-22,328,325,325,322,hemolyzed plasma
115,8-21-22,1B,F,A,Y,635.5,88.2,APP,29.8,8-22-22,8-23-22,319,315,316,314,"plasma slightly hemolyzed, pit tag: 900 1180 01239044, rattle color: pink-yellow-blue"
116,8-23-22,1,F,A,Y,491.0,79.5,APP,31.3,8-24-22,8-24-22,313,320,313,312,
117,8-22-22,1,F,A,Y,356.0,70.0,APP,27.5,8-23-22,8-23-22,335,299,296,301,
118,8-22-22,1B,M,A,NA,951.2,100.4,APP,27.9,8-23-22,8-23-22,329,323,325,340,slightly hemolyzed plasma
119,8-23-22,L4,F,A,Y,437.8,81.3,APP,29.3,8-24-22,8-24-22,376,389,372,388,"very skinny at capture, intentionally put in hydration treatment"
120,8-23-22,1B,F,A,Y,459.2,74.7,APP,29.6,8-24-22,8-24-22,350,342,337,343,
121,8-24-22,Other,F,J,N,141.6,55.5,APP,26.0,8-25-22,8-26-22,301,301,303,308,"capture: 0329310, 4493236"
122,8-24-22,1A,M,A,NA,390.0,67.5,APP,26.7,8-25-22,8-26-22,337,313,310,313,slightly hemolyzed plasma
123,8-24-22,Other,F,A,Y,589.4,79.5,APP,27.3,8-25-22,8-26-22,301,304,299,307,"capture: 40.5659638, -107.0202929"
124,8-25-22,PB,F,A,Y,411.9,75.5,APP,28.0,8-26-22,8-26-22,350,353,353,356,
125,8-25-22,PB,F,A,Y,494.5,80.5,APP,27.6,8-26-22,8-26-22,301,292,291,300,
126,8-25-22,PB,F,A,Y,785.5,91.0,APP,29.5,8-26-22,8-26-22,357,348,349,355,
127,8-25-22,PB,F,A,Y,513.9,80.0,APP,28.1,8-26-22,8-26-22,339,338,328,336,
128,8-25-22,PB,F,A,Y,480.0,84.0,APP,28.5,8-26-22,8-26-22,350,350,349,348,
129,8-25-22,PB,F,A,Y,463.8,73.0,APP,28.3,8-26-22,8-26-22,301,300,296,297,
130,8-25-22,PB,F,A,Y,374.0,71.5,APP,27.4,8-26-22,8-26-22,314,315,317,318,
131,8-25-22,PB,F,A,Y,386.5,74.5,APP,28.3,8-26-22,8-26-22,328,332,325,330,
132,8-25-22,PB,F,A,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gave birth to stillborn prior to measurements
133,8-25-22,PB,F,A,Y,679.5,89.5,APP,27.7,8-26-22,8-26-22,313,314,313,337,
134,8-25-22,PB,F,A,Y,362.0,73.0,APP,28.4,8-26-22,8-27-22,329,334,332,334,
135,8-25-22,PB,F,A,Y,388.4,72.0,APP,30.3,8-26-22,8-27-22,323,320,328,324,
136,8-26-22,L2,M,A,NA,826.3,96.0,POST,27.8,8-27-22,8-28-22,315,316,315,NA,"pit tag: 900 1180 0124 0036, rattle color: yellow-blue-yellow"
137,8-27-22,Other,M,A,NA,573.9,81.0,APP,28.7,8-28-22,8-28-22,326,328,324,322,"capture: 40.5588232, -107.0104499"
138,8-27-22,1B,M,A,NA,762.4,93.2,APP,28.1,8-28-22,8-28-22,327,331,327,336,
139,8-30-22,1B,M,A,NA,397.5,74.0,APP,27.9,9-1-22,9-1-22,311,310,311,308,
140,8-30-22,1B,M,A,NA,244.8,61.5,APP,28.2,9-1-22,9-1-22,301,297,296,296,
141,9-1-22,PB,M,A,NA,493.0,81.0,APP,27.0,9-2-22,9-2-22,330,329,328,330,
142,9-1-22,PB,F,A,N,729.8,88.0,APP,26.8,9-2-22,9-2-22,316,313,311,315,
143,9-1-22,PB,M,A,NA,648.5,84.0,CLOSE,26.0,9-2-22,9-2-22,318,322,316,328,
144,9-2-22,PB,F,A,N,246.4,68.5,APP,30.3,9-3-22,9-14-22,326,321,328,322,
145,9-2-22,PB,M,J,NA,40.5,35.0,CLOSE,29.3,9-3-22,9-14-22,341,339,NA,NA,
146,9-2-22,PB,M,A,NA,912.6,98.5,CLOSE,28.1,9-3-22,9-14-22,328,333,328,333,
147,9-2-22,PB,F,A,N,374.9,78.5,APP,27.5,9-3-22,9-14-22,314,313,314,312,
148,9-3-22,PB,M,A,NA,694.8,90.0,APP,24.7,9-4-22,9-15-22,315,305,320,324,
149,9-3-22,PB,M,SA,NA,185.8,55.5,APP,27.6,9-4-22,9-15-22,327,317,316,314,
150,9-3-22,PB,M,A,NA,453.8,80.5,APP,25.3,9-4-22,9-15-22,311,299,306,297,
151,9-3-22,PB,M,A,NA,773.0,94.5,APP,25.0,9-4-22,9-15-22,337,341,342,334,
152,9-4-22,PB,M,A,NA,438.7,74.0,APP,25.8,9-5-22,9-18-22,33,329,328,NA,
153,9-4-22,PB,M,A,NA,550.5,84.0,APP,24.5,9-5-22,9-18-22,321,314,317,NA,