IndivID,CEWL&BloodCollectDate,DayRelativeToZero
101,8-22-22,-12.0
,8-29-22,-5.0
,9-4-22,1.0
102,8-22-22,NA
,8-29-22,NA
,9-5-22,NA
103,8-22-22,-14.0
,8-29-22,-7.0
,9-5-22,0.0
,9-6-22,1.0
104,8-22-22,-14.0
,8-29-22,-7.0
,9-6-22,1.0
105,8-22-22,-14.0
,8-29-22,-7.0
,9-5-22,1.0
107,8-22-22,NA
,8-29-22,NA
,9-5-22,NA
108,8-22-22,NA
,8-29-22,NA
,9-5-22,NA
110,8-22-22,NA
,8-29-22,NA
,9-5-22,NA
111,8-22-22,NA
,8-29-22,NA
,9-5-22,NA
112,8-22-22,-13.0
,8-29-22,-6.0
,9-5-22,1.0
113,8-22-22,NA
,8-29-22,NA
,9-5-22,NA
114,8-22-22,-13.0
,8-29-22,-6.0
,9-5-22,1.0
115,8-22-22,-14.0
,8-29-22,-7.0
,9-5-22,0.0
,9-6-22,1.0
116,8-24-22,NA
,8-31-22,NA
117,8-23-22,NA
,8-30-22,NA
,9-6-22,NA
119,8-24-22,-12.0
,8-31-22,-5.0
,9-6-22,1.0
120,8-24-22,NA
,8-31-22,NA
,9-6-22,NA
123,8-25-22,NA
,9-1-22,NA
124,8-26-22,-4.0
,8-31-22,1.0
125,8-26-22,-1.0
,8-28-22,1.0
,9-4-22,8.0
126,8-26-22,-6.0
,9-2-22,1.0
127,8-26-22,-8.0
,9-3-22,0.0
,9-4-22,1.0
128,8-26-22,-2.0
,8-29-22,1.0
,9-5-22,8.0
129,8-26-22,-2.0
,8-28-22,1.0
,9-4-22,7.0
130,8-26-22,NA
,9-3-22,NA
131,8-26-22,-4.0
,8-31-22,1.0
133,8-26-22,-4.0
,8-31-22,1.0
134,8-26-22,-4.0
,8-31-22,1.0
135,8-26-22,-1.0
,8-28-22,1.0
,9-4-22,8.0