Indiv_ID,CEWL_Blood_Collect_Date,Plasma_Osmol_Rep_mean,Change_in_osmol
101,8/22/22,342.25,0
101,8/29/22,332,-10.25
101,9/4/22,326,-16.25
102,8/22/22,324,0
102,8/29/22,328.25,4.25
102,9/5/22,291,-33
103,8/22/22,318,0
103,8/29/22,343,25
103,9/5/22,304.3333333,-13.66666667
103,9/6/22,331.6666667,13.66666667
104,8/22/22,327.6666667,0
104,8/29/22,326.5,-1.166666667
104,9/6/22,318,-9.666666667
105,8/22/22,344.75,0
105,8/29/22,365.25,20.5
105,9/5/22,320.75,-24
107,8/22/22,323.3333333,0
107,8/29/22,330.75,7.416666667
107,9/5/22,299.3333333,-24
108,8/22/22,315,0
108,8/29/22,343.5,28.5
108,9/5/22,324.25,9.25
110,8/22/22,322,0
110,8/29/22,346,24
110,9/5/22,354.3333333,32.33333333
111,8/22/22,317,0
111,8/29/22,322.5,5.5
111,9/5/22,290.6666667,-26.33333333
112,8/22/22,341,0
112,8/29/22,309.6666667,-31.33333333
112,9/5/22,281.6666667,-59.33333333
113,8/22/22,342.25,0
113,8/29/22,308,-34.25
113,9/5/22,291,-51.25
114,8/22/22,325,0
114,8/29/22,341,16
114,9/5/22,311.6666667,-13.33333333
115,8/22/22,316,0
115,8/29/22,339.5,23.5
115,9/5/22,332.3333333,16.33333333
115,9/6/22,357.25,41.25
116,8/24/22,312.6666667,0
116,8/31/22,323.3333333,10.66666667
117,8/23/22,298.6666667,0
117,8/30/22,322.5,23.83333333
117,9/6/22,344.3333333,45.66666667
119,8/24/22,381.25,0
119,8/31/22,333.5,-47.75
119,9/6/22,320.3333333,-60.91666667
120,8/24/22,343,0
120,8/31/22,323.5,-19.5
120,9/6/22,325,-18
123,8/25/22,302.75,0
123,9/1/22,312.75,10
124,8/26/22,353,0
124,8/31/22,300.75,-52.25
125,8/26/22,296,0
125,8/28/22,288.6666667,-7.333333333
125,9/4/22,307.6666667,11.66666667
126,8/26/22,352.25,0
126,9/2/22,309.25,-43
127,8/26/22,335.25,0
127,9/3/22,321.5,-13.75
127,9/4/22,312.3333333,-22.91666667
128,8/26/22,349.25,0
128,8/29/22,305,-44.25
128,9/5/22,271.3333333,-77.91666667
129,8/26/22,298.5,0
129,8/28/22,314.6666667,16.16666667
129,9/4/22,325,26.5
130,8/26/22,316,0
130,9/3/22,352.5,36.5
131,8/26/22,328.75,0
131,8/31/22,310.5,-18.25
133,8/26/22,313.3333333,0
133,8/31/22,329,15.66666667
134,8/26/22,332,0
134,8/31/22,304,-28
135,8/26/22,323.75,0
135,8/28/22,301.25,-22.5
135,9/4/22,322.3333333,-1.416666667